Unnamed: 0.1,Unnamed: 0,construct,method,model_name,r,95% CI
2,0.0,O_Scale_score,bow,XGBRegressor,0.0735709336319188,"[-0.04, 0.19]"
7,0.0,O_Scale_score,bow,CatBoostRegressor,0.0707206985564741,"[-0.04, 0.18]"
12,0.0,O_Scale_score,bow,LGBMRegressor,0.0757327520785414,"[-0.04, 0.19]"
17,0.0,O_Scale_score,bow,ElasticNet,0.1215245555561543,"[0.01, 0.23]"
22,0.0,O_Scale_score,bow,RandomForestRegressor,0.1177491995715834,"[0.0, 0.23]"
27,0.0,O_Scale_score,empath,XGBRegressor,0.096989852545141,"[-0.02, 0.21]"
32,0.0,O_Scale_score,empath,CatBoostRegressor,0.1805185002400251,"[0.07, 0.29]"
37,0.0,O_Scale_score,empath,LGBMRegressor,0.0632851002234184,"[-0.05, 0.18]"
42,0.0,O_Scale_score,empath,ElasticNet,0.1581006541029213,"[0.05, 0.27]"
47,0.0,O_Scale_score,empath,RandomForestRegressor,0.0950640849359791,"[-0.02, 0.21]"
54,,O_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.2026107051272915,"[0.09, 0.31]"
59,,O_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.1455430116931388,"[0.03, 0.25]"
64,,O_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.0600614722069073,"[-0.05, 0.17]"
69,,O_Scale_score,transformer,google-bert-bert-base-cased_transformer,0.205669815021363,"[0.09, 0.31]"
74,,O_Scale_score,transformer,google-bigbird-roberta-base_transformer,0.2243695639072751,"[0.11, 0.33]"
79,,O_Scale_score,lstm,lstm,-0.0029382347504771,"[-0.12, 0.11]"
84,,O_Scale_score,transformer,microsoft-deberta-v3-base_transformer,0.1987264617159247,"[0.09, 0.31]"
89,,O_Scale_score,transformer,microsoft-deberta-v3-large_transformer,0.2329514279538171,"[0.12, 0.34]"
94,0.0,O_Scale_score,ensemble,XGBRegressor,0.1358309402913214,"[0.02, 0.25]"
99,0.0,O_Scale_score,ensemble,CatBoostRegressor,0.1853678984104436,"[0.07, 0.29]"
104,0.0,O_Scale_score,ensemble,LGBMRegressor,0.1223846607604316,"[0.01, 0.23]"
109,0.0,O_Scale_score,ensemble,ElasticNet,0.2122332706779469,"[0.1, 0.32]"
114,0.0,O_Scale_score,ensemble,RandomForestRegressor,0.1506338773823733,"[0.04, 0.26]"
