Unnamed: 0.1,Unnamed: 0,construct,method,model_name,r,95% CI
4,0.0,N_Scale_score,bow,XGBRegressor,0.1261866175795433,"[0.01, 0.24]"
9,0.0,N_Scale_score,bow,CatBoostRegressor,0.0819012715847401,"[-0.03, 0.19]"
14,0.0,N_Scale_score,bow,LGBMRegressor,0.1181859062782433,"[0.01, 0.23]"
19,0.0,N_Scale_score,bow,ElasticNet,0.1475378111189293,"[0.03, 0.26]"
24,0.0,N_Scale_score,bow,RandomForestRegressor,0.1817999029477404,"[0.07, 0.29]"
29,0.0,N_Scale_score,empath,XGBRegressor,0.0352103817608711,"[-0.08, 0.15]"
34,0.0,N_Scale_score,empath,CatBoostRegressor,0.0637885513797776,"[-0.05, 0.18]"
39,0.0,N_Scale_score,empath,LGBMRegressor,-0.0040255160616808,"[-0.12, 0.11]"
44,0.0,N_Scale_score,empath,ElasticNet,0.1118377902592283,"[-0.0, 0.22]"
49,0.0,N_Scale_score,empath,RandomForestRegressor,0.0606777444547367,"[-0.05, 0.17]"
53,,N_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.215107839250632,"[0.1, 0.32]"
58,,N_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.2456881837382196,"[0.14, 0.35]"
63,,N_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.2024223544892441,"[0.09, 0.31]"
68,,N_Scale_score,transformer,google-bert-bert-base-cased_transformer,0.185053051512466,"[0.07, 0.29]"
73,,N_Scale_score,transformer,google-bigbird-roberta-base_transformer,0.1602830649240569,"[0.05, 0.27]"
78,,N_Scale_score,lstm,lstm,0.0052860883865683,"[-0.11, 0.12]"
83,,N_Scale_score,transformer,microsoft-deberta-v3-base_transformer,0.2531681709727436,"[0.14, 0.36]"
88,,N_Scale_score,transformer,microsoft-deberta-v3-large_transformer,0.2633460933709928,"[0.15, 0.37]"
93,0.0,N_Scale_score,ensemble,XGBRegressor,0.1483410539498413,"[0.04, 0.26]"
98,0.0,N_Scale_score,ensemble,CatBoostRegressor,0.2272464597899693,"[0.12, 0.33]"
103,0.0,N_Scale_score,ensemble,LGBMRegressor,0.1518642317842418,"[0.04, 0.26]"
108,0.0,N_Scale_score,ensemble,ElasticNet,0.2580933384890645,"[0.15, 0.36]"
113,0.0,N_Scale_score,ensemble,RandomForestRegressor,0.1953907370803419,"[0.08, 0.3]"
