Unnamed: 0.1,Unnamed: 0,construct,method,model_name,r,95% CI
0,0.0,E_Scale_score,bow,XGBRegressor,0.1972696817082854,"[0.09, 0.3]"
5,0.0,E_Scale_score,bow,CatBoostRegressor,0.1470854195914082,"[0.03, 0.26]"
10,0.0,E_Scale_score,bow,LGBMRegressor,0.1209374688896907,"[0.01, 0.23]"
15,0.0,E_Scale_score,bow,ElasticNet,0.1645024243131264,"[0.05, 0.27]"
20,0.0,E_Scale_score,bow,RandomForestRegressor,0.2233220424442728,"[0.11, 0.33]"
25,0.0,E_Scale_score,empath,XGBRegressor,0.1137644907550631,"[0.0, 0.22]"
30,0.0,E_Scale_score,empath,CatBoostRegressor,0.1079161734469646,"[-0.01, 0.22]"
35,0.0,E_Scale_score,empath,LGBMRegressor,0.0937239801404618,"[-0.02, 0.2]"
40,0.0,E_Scale_score,empath,ElasticNet,0.1562725376024988,"[0.04, 0.26]"
45,0.0,E_Scale_score,empath,RandomForestRegressor,0.1292117870935934,"[0.02, 0.24]"
52,,E_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.3423760166086643,"[0.24, 0.44]"
57,,E_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.3212450196978619,"[0.22, 0.42]"
62,,E_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.2214395786631543,"[0.11, 0.33]"
67,,E_Scale_score,transformer,google-bert-bert-base-cased_transformer,0.1670190476158175,"[0.05, 0.28]"
72,,E_Scale_score,transformer,google-bigbird-roberta-base_transformer,0.297838643549534,"[0.19, 0.4]"
77,,E_Scale_score,lstm,lstm,-0.0562901059427864,"[-0.17, 0.06]"
82,,E_Scale_score,transformer,microsoft-deberta-v3-base_transformer,0.3493984306165831,"[0.25, 0.45]"
87,,E_Scale_score,transformer,microsoft-deberta-v3-large_transformer,0.1301452175736506,"[0.02, 0.24]"
92,0.0,E_Scale_score,ensemble,XGBRegressor,0.2764455097305673,"[0.17, 0.38]"
97,0.0,E_Scale_score,ensemble,CatBoostRegressor,0.3420504535284836,"[0.24, 0.44]"
102,0.0,E_Scale_score,ensemble,LGBMRegressor,0.2882375834547735,"[0.18, 0.39]"
107,0.0,E_Scale_score,ensemble,ElasticNet,0.3546798587716727,"[0.25, 0.45]"
112,0.0,E_Scale_score,ensemble,RandomForestRegressor,0.3287307082454747,"[0.22, 0.43]"
