Unnamed: 0.1,Unnamed: 0,construct,method,model_name,r,95% CI
3,0.0,C_Scale_score,bow,XGBRegressor,0.0739420307009121,"[-0.04, 0.19]"
8,0.0,C_Scale_score,bow,CatBoostRegressor,0.1002377336573186,"[-0.01, 0.21]"
13,0.0,C_Scale_score,bow,LGBMRegressor,0.0798959352907343,"[-0.03, 0.19]"
18,0.0,C_Scale_score,bow,ElasticNet,0.0663887547119574,"[-0.05, 0.18]"
23,0.0,C_Scale_score,bow,RandomForestRegressor,0.1042952572569348,"[-0.01, 0.21]"
28,0.0,C_Scale_score,empath,XGBRegressor,0.0067750093537377,"[-0.11, 0.12]"
33,0.0,C_Scale_score,empath,CatBoostRegressor,0.012322783765223,"[-0.1, 0.13]"
38,0.0,C_Scale_score,empath,LGBMRegressor,-0.0221189570526763,"[-0.14, 0.09]"
43,0.0,C_Scale_score,empath,ElasticNet,0.0865870457821523,"[-0.03, 0.2]"
48,0.0,C_Scale_score,empath,RandomForestRegressor,-0.0159491214646721,"[-0.13, 0.1]"
51,,C_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.1109444352686721,"[-0.0, 0.22]"
56,,C_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.149294591234724,"[0.04, 0.26]"
61,,C_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.096326640720591,"[-0.02, 0.21]"
66,,C_Scale_score,transformer,google-bert-bert-base-cased_transformer,0.1049520997360888,"[-0.01, 0.22]"
71,,C_Scale_score,transformer,google-bigbird-roberta-base_transformer,0.2063009241944875,"[0.1, 0.31]"
76,,C_Scale_score,lstm,lstm,0.0942723448704404,"[-0.02, 0.21]"
81,,C_Scale_score,transformer,microsoft-deberta-v3-base_transformer,0.1185915337345594,"[0.01, 0.23]"
86,,C_Scale_score,transformer,microsoft-deberta-v3-large_transformer,0.0840893158133642,"[-0.03, 0.2]"
91,0.0,C_Scale_score,ensemble,XGBRegressor,0.100557628802832,"[-0.01, 0.21]"
96,0.0,C_Scale_score,ensemble,CatBoostRegressor,0.1434585113839258,"[0.03, 0.25]"
101,0.0,C_Scale_score,ensemble,LGBMRegressor,0.0949696038858297,"[-0.02, 0.21]"
106,0.0,C_Scale_score,ensemble,ElasticNet,0.1343946156968856,"[0.02, 0.24]"
111,0.0,C_Scale_score,ensemble,RandomForestRegressor,0.1144925596665066,"[0.0, 0.22]"
