Unnamed: 0.1,Unnamed: 0,construct,method,model_name,r,95% CI
50,,A_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.2848608253234136,"[0.18, 0.39]"
51,,C_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.1109444352686721,"[-0.0, 0.22]"
52,,E_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.3423760166086643,"[0.24, 0.44]"
53,,N_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.215107839250632,"[0.1, 0.32]"
54,,O_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.2026107051272915,"[0.09, 0.31]"
55,,A_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.276188174422473,"[0.17, 0.38]"
56,,C_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.149294591234724,"[0.04, 0.26]"
57,,E_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.3212450196978619,"[0.22, 0.42]"
58,,N_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.2456881837382196,"[0.14, 0.35]"
59,,O_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.1455430116931388,"[0.03, 0.25]"
60,,A_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.2034348143637878,"[0.09, 0.31]"
61,,C_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.096326640720591,"[-0.02, 0.21]"
62,,E_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.2214395786631543,"[0.11, 0.33]"
63,,N_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.2024223544892441,"[0.09, 0.31]"
64,,O_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.0600614722069073,"[-0.05, 0.17]"
65,,A_Scale_score,transformer,google-bert-bert-base-cased_transformer,0.2140830229300652,"[0.1, 0.32]"
66,,C_Scale_score,transformer,google-bert-bert-base-cased_transformer,0.1049520997360888,"[-0.01, 0.22]"
67,,E_Scale_score,transformer,google-bert-bert-base-cased_transformer,0.1670190476158175,"[0.05, 0.28]"
68,,N_Scale_score,transformer,google-bert-bert-base-cased_transformer,0.185053051512466,"[0.07, 0.29]"
69,,O_Scale_score,transformer,google-bert-bert-base-cased_transformer,0.205669815021363,"[0.09, 0.31]"
70,,A_Scale_score,transformer,google-bigbird-roberta-base_transformer,0.0166395085886503,"[-0.1, 0.13]"
71,,C_Scale_score,transformer,google-bigbird-roberta-base_transformer,0.2063009241944875,"[0.1, 0.31]"
72,,E_Scale_score,transformer,google-bigbird-roberta-base_transformer,0.297838643549534,"[0.19, 0.4]"
73,,N_Scale_score,transformer,google-bigbird-roberta-base_transformer,0.1602830649240569,"[0.05, 0.27]"
74,,O_Scale_score,transformer,google-bigbird-roberta-base_transformer,0.2243695639072751,"[0.11, 0.33]"
80,,A_Scale_score,transformer,microsoft-deberta-v3-base_transformer,0.2668315831480875,"[0.16, 0.37]"
81,,C_Scale_score,transformer,microsoft-deberta-v3-base_transformer,0.1185915337345594,"[0.01, 0.23]"
82,,E_Scale_score,transformer,microsoft-deberta-v3-base_transformer,0.3493984306165831,"[0.25, 0.45]"
83,,N_Scale_score,transformer,microsoft-deberta-v3-base_transformer,0.2531681709727436,"[0.14, 0.36]"
84,,O_Scale_score,transformer,microsoft-deberta-v3-base_transformer,0.1987264617159247,"[0.09, 0.31]"
85,,A_Scale_score,transformer,microsoft-deberta-v3-large_transformer,0.3222832648324991,"[0.22, 0.42]"
86,,C_Scale_score,transformer,microsoft-deberta-v3-large_transformer,0.0840893158133642,"[-0.03, 0.2]"
87,,E_Scale_score,transformer,microsoft-deberta-v3-large_transformer,0.1301452175736506,"[0.02, 0.24]"
88,,N_Scale_score,transformer,microsoft-deberta-v3-large_transformer,0.2633460933709928,"[0.15, 0.37]"
89,,O_Scale_score,transformer,microsoft-deberta-v3-large_transformer,0.2329514279538171,"[0.12, 0.34]"
