Unnamed: 0.1,Unnamed: 0,construct,method,model_name,r,95% CI
1,0.0,A_Scale_score,bow,XGBRegressor,0.1945048980576631,"[0.08, 0.3]"
6,0.0,A_Scale_score,bow,CatBoostRegressor,0.2443185703833998,"[0.13, 0.35]"
11,0.0,A_Scale_score,bow,LGBMRegressor,0.1678311449659743,"[0.06, 0.28]"
16,0.0,A_Scale_score,bow,ElasticNet,0.1691815397526073,"[0.06, 0.28]"
21,0.0,A_Scale_score,bow,RandomForestRegressor,0.2634718550648757,"[0.15, 0.37]"
26,0.0,A_Scale_score,empath,XGBRegressor,0.1413262230040012,"[0.03, 0.25]"
31,0.0,A_Scale_score,empath,CatBoostRegressor,0.1431303470725027,"[0.03, 0.25]"
36,0.0,A_Scale_score,empath,LGBMRegressor,0.1649873368133753,"[0.05, 0.27]"
41,0.0,A_Scale_score,empath,ElasticNet,0.2004743218342541,"[0.09, 0.31]"
46,0.0,A_Scale_score,empath,RandomForestRegressor,0.1522107354855515,"[0.04, 0.26]"
50,,A_Scale_score,transformer,FacebookAI-roberta-base_transformer,0.2848608253234136,"[0.18, 0.39]"
55,,A_Scale_score,transformer,FacebookAI-roberta-large_transformer,0.276188174422473,"[0.17, 0.38]"
60,,A_Scale_score,transformer,distilbert-distilbert-base-cased_transformer,0.2034348143637878,"[0.09, 0.31]"
65,,A_Scale_score,transformer,google-bert-bert-base-cased_transformer,0.2140830229300652,"[0.1, 0.32]"
70,,A_Scale_score,transformer,google-bigbird-roberta-base_transformer,0.0166395085886503,"[-0.1, 0.13]"
75,,A_Scale_score,lstm,lstm,0.0806544874115757,"[-0.03, 0.19]"
80,,A_Scale_score,transformer,microsoft-deberta-v3-base_transformer,0.2668315831480875,"[0.16, 0.37]"
85,,A_Scale_score,transformer,microsoft-deberta-v3-large_transformer,0.3222832648324991,"[0.22, 0.42]"
90,0.0,A_Scale_score,ensemble,XGBRegressor,0.2605268441916045,"[0.15, 0.36]"
95,0.0,A_Scale_score,ensemble,CatBoostRegressor,0.3216321235960371,"[0.22, 0.42]"
100,0.0,A_Scale_score,ensemble,LGBMRegressor,0.1805554074241186,"[0.07, 0.29]"
105,0.0,A_Scale_score,ensemble,ElasticNet,0.3318765203384202,"[0.23, 0.43]"
110,0.0,A_Scale_score,ensemble,RandomForestRegressor,0.2932093216343962,"[0.19, 0.39]"
